代号,指令,MW0,MW1,MW2,MW3,MW4,MW5,MW6,MW7,MW8,MW9,MW10,MW11,MW12,MW13,MW14,MW15,MW16,MW17,MW18,MW19,MW20,MW21,MW22,MW23,MW24,MW25,MW26,MW27,MW28,MW29
0,NOP,注释,,"标识$STR,4$",,,,"数据$STRW,20$",,,,,,,,,,,,,,,,,,,,,,,
1,TIM,延时,,"标识$STR,4$",,,,数据,,,,,,,,,,,,,,,,,,,,,,,
2,FUCTION,功能设定,,"标识$STR,4$",,,,特殊功能代号1$2$,,特殊功能代号2$2$,,特殊功能代号3$2$,,特殊功能代号4$2$,,特殊功能代号5$2$,,,,,,,,,,,,,,,
3,IO,IO操作,,"标识$STR,4$",,,,输出状态$BIN$,输入状态$BIN$,输出点1$HEX$,输出点2$HEX$,输出点3$HEX$,输出点4$HEX$,输出点5$HEX$,输入点1$HEX$,输入点2$HEX$,输入点3$HEX$,输入点4$HEX$,输入点5$HEX$,输入时间1,输入时间2,输入时间3,输入时间4,输入时间5,,,,,,,
4,INP,定位精度,设置轴$BIN$,"标识$STR,4$",,,,1轴精度,2轴精度,3轴精度,4轴精度,5轴精度,6轴精度,7轴精度,8轴精度,,,,,,,,,,,,,,,,
5,MVS,多轴连动,相对/绝对、等待、速度是否设定$BIN$,"标识$STR,4$",,,,各轴参数引用方式$BIN$,各轴是否有效$BIN$,速度$2$,,1轴坐标/移动量$2$,,2轴坐标/移动量$2$,,3轴坐标/移动量$2$,,4轴坐标/移动量$2$,,5轴坐标/移动量$2$,,6轴坐标/移动量$2$,,7轴坐标/移动量$2$,,8轴坐标/移动量$2$,,,,,
6,MCC,缠头,相对/绝对、等待、速度是否设定、方向$BIN$,"标识$STR,4$",,,,各轴参数引用方式$BIN$,缠头方式,速度$2$,,中心点1$2$,,中心点2$2$,,目标位置1轴$2$,,目标位置2轴$2$,,目标位置3轴$2$,,圈数,,,,,,,,,
7,WDA,普通绕线,旋转轴/摆动轴定义$BIN$,"标识$STR,4$",,,,排线轴定义,使用数据设定,转速,加减速时间,圈数及方向,附加角度,卷幅及方向,截距,结束位置,起点圈数,起侧圈数,反侧圈数,终点圈数,始低速,始低速圈数,备用,穿梭距离,圆弧高度,摆动角度,末低速,末低速圈数,,穿梭轴定义,圈数修正方式
8,WDB,分段绕线,旋转轴/摆动轴定义$BIN$,"标识$STR,4$",,,,排线轴定义,使用数据设定,转速显示,时间显示,圈数显示,角度显示,圈数修正方式,,,,,,,,,,,,,,,,穿梭轴定义,
9,WDL,分层绕线,旋转轴/摆动轴定义$BIN$,"标识$STR,4$",,,,排线轴定义,使用数据设定,圈数1显示,卷幅1显示,圈数2显示,卷幅2显示,圈数3显示,卷幅3显示,圈数4显示,卷幅4显示,圈数5显示,卷幅5显示,圈数6显示,卷幅6显示,圈数7显示,卷幅7显示,圈数8显示,卷幅8显示,圈数9显示,卷幅9显示,,,穿梭轴定义,
10,MSEE,子程序,参数引用方式$BIN$,"标识$STR,4$",,,,参数,实际子程序号,,,,,,,,,,,,,,,,,,,,,,
11,GOTO,跳转,直接地址/标识地址 F标识未查到错误$BIN$,"标识$STR,4$",,,,转移条件设定,转移条件设定,转移地址设定/显示,"转移标识设定/显示$STR,4$",,,,,按位设定转移条件（供显示用）,,,,,,,,,,,,,,,
12,LOOP,循环开始,,"标识$STR,4$",,,,循环次数,,,,,,,,,,,,,,,,,,,,,,,
13,ENDLOOP,循环结束,,"标识$STR,4$",,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PFORK,并行开始,直接地址/标识地址$BIN$,"标识$STR,4$",,,,,,并行开始地址设定/显示,"并行开始标识设定/显示$STR,4$",,,,,,,,,,,,,,,,,,,,
15,PWAIT,并行等待,,"标识$STR,4$",,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PEND,并行指令结束,,"标识$STR,4$",,,,,,,,,,,,,,,,,,,,,,,,,,,
17,GOSUB,模块调用,直接地址/标识地址$BIN$,"标识$STR,4$",,,,,,模块开始地址设定/显示,"模块开始标识设定/显示$STR,4$",,,,,,,,,,,,,,,,,,,,
18,SUBEND,模块结束,,"标识$STR,4$",,,,,,,,,,,,,,,,,,,,,,,,,,,
19,BITSET,位操作,,"标识$STR,4$",,,,字地址,位地址,赋值,,,,,,,,,,,,,,,,,,,,,
20,BITWAIT,位确认,,"标识$STR,4$",,,,字地址,位地址,值,,,,,,,,,,,,,,,,,,,,,
21,WORDSET,字操作,,"标识$STR,4$",,,,字地址,位地址,赋值,,,,,,,,,,,,,,,,,,,,,
22,WORDWAIT,字确认,,"标识$STR,4$",,,,字地址,位地址,值,,,,,,,,,,,,,,,,,,,,,
31,END,主程序结束,,"标识$STR,4$",,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
